ID,RESIDENTIAL,BUSINESS,RURAL,ONE_WAY,BOTH_WAY,SIDE_1,SIDE_2,SIDE_3,SIDE_4,INTERSECTION3,INTERSECTION4,LANE_1,LANE_2,LANE_3,CROSS_NO,CROSS_YES,STOPCAR_ZERO,STOPCAR_LOW,STOPCAR_MID,STOPCAR_HIGH,PEDESTRIAN_LOW,PEDESTRIAN_MID,PEDESTRIAN_HIGH,TRAFFIC_LOW,TRAFFIC_MID,TRAFFIC_HIGH,LEAD_NO,LEAD_YES,SUNNY,RAIN,TIME6_10,TIME10_16,TIME16_20,TIME20_6,AGE_UNKOWN,AGE_OLDER,AGE_MATURE,AGE_YOUNG,AGE_CHILD,SIGNAL_NO,SIGNAL_YES,Y_SIGNAL_NO,Y_SIGNAL_YES,YGAP,VLIM,BRIGHTNESS,SCT,TTC,VCAR,V4,AX7,DBLIND,DOBJ,PET,V_OBJ,YEAR,MONTH,TIME
131236,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,2.5,30,1,0.8,2.1,46.6,48,0.1,22.4,5.6,0,8.1,2009,8,12
131920,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,3.8,30,3,1.47,2.4,29,30.5,-0.2,5.7,14,7.2,5.4,2009,9,19
132390,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,2.1,30,1,0.92,2.3,48,49.5,0.5,24.4,6.6,0.1,10.8,2009,9,12
132768,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1.4,30,3,1.03,1.9,24.6,20.6,0.5,11.7,1.4,0,8.6,2009,9,0
134217,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,3.5,30,1,0.16,1.1,28.5,27,0.8,6.9,2,0,10.8,2009,10,12
134222,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1.3,30,3,-0.02,1.2,41,41,0.3,9.1,4.8,0,9.3,2009,10,19
135100,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,3.2,30,3,1.41,2.1,19.9,18.5,0.9,9.1,3.1,0,5.9,2009,10,20
136041,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,3.3,30,3,0.97,1.7,21.3,22.2,0.2,3.6,7,3.1,7.2,2009,12,19
136104,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1.9,30,1,0.35,1.8,53.7,53.7,0.3,21.1,6.8,0,13,2009,12,9
136870,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1.4,30,1,1.99,2.8,24.2,17.2,1.1,11.6,7.7,0,5.9,2009,11,16
136974,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1.8,30,1,0.67,1.4,18.6,29.1,0.2,4.3,3.1,0,13,2009,12,8
137536,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,2.8,30,3,2.12,3.3,39.6,39.6,-0.3,22.9,13.8,1.2,3.6,2009,12,20
138349,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,5.9,30,3,3.01,4,31.2,31.2,1,29.5,5.5,0.6,5,2010,1,18
138463,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1.2,30,3,0.9,1.9,31.6,32.9,-0.4,9.6,7.4,0,8.1,2009,12,17
138491,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1.7,30,3,0.85,2,41,43.8,-0.1,20.7,3.1,0,9.3,2010,1,18
139560,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1.7,30,1,0.14,1.2,35.9,38.1,-0.1,9.1,3.6,0,7.2,2010,2,14
140138,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,4.9,30,1,0.19,1.8,56.5,55.1,0.4,15.2,12.8,0.3,14.4,2010,4,6
141162,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1.3,30,3,2.04,2.8,22.6,20.6,0.6,8.3,9.9,0.3,10.8,2010,3,1
142131,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1.4,30,3,1,1.7,18.8,39.6,0.7,4,5.3,4.8,2.1,2010,6,22
143013,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,7.4,30,1,2.98,3.9,28.4,35.7,0,14,17.2,4.2,7.2,2010,5,16
143650,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,5.2,30,1,2.89,3.6,18.6,17.9,-0.2,17.4,1.5,0.2,4.3,2010,7,10
143946,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1.3,30,1,0.87,1.7,23.9,21.6,-0.1,3.8,7.9,0,9.3,2010,7,8
144155,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,2.7,30,1,1.07,2.2,39.6,41,0.1,8.9,16.2,0.6,10,2010,8,7
144848,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,2.4,30,1,1.38,2.2,23.7,18.8,0.1,7.4,7.5,0,9.3,2010,10,8
144864,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,2.9,30,3,2.19,2.7,13,12.7,0.1,4.8,5.6,0,8.6,2010,10,21
145192,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,2.4,30,1,0.28,1.4,36.7,45.2,0.5,8.6,5.9,0,9.3,2010,10,15
145440,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1.8,30,1,0.21,1.2,32.1,27,1.7,7.4,3.8,0,7.6,2010,10,11
146047,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2.1,30,3,1.79,2.5,19.6,24.7,-0.3,3.1,11,3.6,6.5,2010,10,19
149281,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1.8,30,3,2.57,3.4,23.2,27.6,0,13,9.1,0,5.9,2010,12,19
150456,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,2,30,3,1,2.3,44.1,50.9,0,11.2,17.1,0,10.8,2008,1,21
150602,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1.3,30,1,0.65,1.4,19.8,14.7,-0.3,6,2,0,5.9,2008,4,16
150653,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,2.5,30,3,1.88,2.8,30,23.7,1,11.9,12.2,0,7.6,2008,4,17
150683,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,2.9,30,1,1.33,2.1,23.2,20.6,1,11.3,2.8,0,11.8,2008,4,13
150754,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1.1,30,3,0.36,1.2,25.1,37.3,0.3,7.9,0.9,0.1,16.2,2008,5,3
150772,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,3.6,30,3,2.73,3.6,26.3,25.1,0.3,21.8,4.9,0.4,9.3,2008,6,22
150878,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,3.9,30,2,2.66,3.4,22.9,23.5,0.2,20.9,1.5,0,4.3,2008,7,18
151054,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1.6,30,1,1.33,2.2,24.9,27.7,0.5,5.4,10,0,13,2008,9,15
151464,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1.2,30,3,1.48,2.5,33.3,30.8,0.1,15.7,7.9,1,14.4,2008,11,20
